line,label,global,start,size
1386,gUnk_085dd518,gUnk_085dd518,0x5DD518,0x5DDC64 - 0x5DD518
1390,gUnk_085dd518,Img_BreathSprites,0x5DDC64,0xD00
1394,gUnk_085dd518,Pal_FireBreathSprites,0x5DE964,0x20
1398,gUnk_085dd518,Img_EfxHurtmutEff00OBJ1,0x5DE984,0x8A0
1402,gUnk_085dd518,Img_EfxHurtmutEff00OBJ2,0x5DF224,0x7E4
1406,gUnk_085dd518,Pal_EfxHurtmutEff00OBJ,0x5DFA08,0x20
1410,gUnk_085dd518,Pal_IceBreathSprites,0x5DFA28,0x20
1414,gUnk_085dd518,Pal_DarkBreathSprites,0x5DFA48,0x20
1418,gUnk_085dd518,Pal_WretchedAirSprites,0x5DFA68,0x20
4438,gUnk_085dd518,Img_DarkBreathBg,0x5E5AE4,0x9F4
4442,gUnk_085dd518,Tsa_085E64D8,0x5E64D8,0xE8
4446,gUnk_085dd518,Tsa_085E65C0,0x5E65C0,0xBC
4450,gUnk_085dd518,Tsa_085E667C,0x5E667C,0xFC
4454,gUnk_085dd518,Tsa_085E6778,0x5E6778,0xE8
4458,gUnk_085dd518,Tsa_085E6860,0x5E6860,0xE8
4462,gUnk_085dd518,Tsa_085E6948,0x5E6948,0xFC
4466,gUnk_085dd518,Tsa_085E6A44,0x5E6A44,0x12C
4470,gUnk_085dd518,Tsa_085E6B70,0x5E6B70,0x134
4474,gUnk_085dd518,Tsa_085E6CA4,0x5E6CA4,0xC4
4478,gUnk_085dd518,Tsa_085E6D68,0x5E6D68,0x12C
4482,gUnk_085dd518,Tsa_085E6E94,0x5E6E94,0xFC
4486,gUnk_085dd518,Tsa_085E6F90,0x5E6F90,0x98
4490,gUnk_085dd518,Img_EfxCriricalEffectBG,0x5E7028,0x10E0
4494,gUnk_085dd518,Pal_EfxCriricalEffectBG,0x5E8108,0x200
4498,gUnk_085dd518,Tsa_EfxCriricalEffectBG_L,0x5E8308,0x4A0
4502,gUnk_085dd518,Tsa_EfxCriricalEffectBG_R,0x5E87A8,0x45C
4506,gUnk_085dd518,Img_EfxSRankWeaponEffectBG,0x5E8C04,0xC0
4510,gUnk_085dd518,Pal_EfxSRankWeaponEffectBG,0x5E8CC4,0x20
4514,gUnk_085dd518,Tsa_EfxSRankWeaponEffectBG,0x5E8CE4,0xA4
4518,gUnk_085dd518,Img_EfxNormalEffectBG,0x5E8D88,0x3C8
4522,gUnk_085dd518,Pal_EfxNormalEffectBG,0x5E9150,0x20
4526,Tsa1_EfxNormalEffectBG,Tsa1_EfxNormalEffectBG,0x5E9170,0x5E923C - 0x5E9170
4530,Tsa2_EfxNormalEffectBG,Tsa2_EfxNormalEffectBG,0x5E923C,0x5E933C - 0x5E923C
4534,Tsa3_EfxNormalEffectBG,Tsa3_EfxNormalEffectBG,0x5E933C,0x5E944C - 0x5E933C
4538,Tsa4_EfxNormalEffectBG,Tsa4_EfxNormalEffectBG,0x5E944C,0x5E9558 - 0x5E944C
4542,Tsa5_EfxNormalEffectBG,Tsa5_EfxNormalEffectBG,0x5E9558,0x5E965C - 0x5E9558
4546,Tsa6_EfxNormalEffectBG,Tsa6_EfxNormalEffectBG,0x5E965C,0x5E9748 - 0x5E965C
4550,Tsa7_EfxNormalEffectBG,Tsa7_EfxNormalEffectBG,0x5E9748,0x5E981C - 0x5E9748
4554,Tsa8_EfxNormalEffectBG,Tsa8_EfxNormalEffectBG,0x5E981C,0x5E98D8 - 0x5E981C
4558,Tsa9_EfxNormalEffectBG,Tsa9_EfxNormalEffectBG,0x5E98D8,0x5E9980 - 0x5E98D8
4562,TsaA_EfxNormalEffectBG,TsaA_EfxNormalEffectBG,0x5E9980,0x5E9A18 - 0x5E9980
7455,TsaA_EfxNormalEffectBG,Img_EfxMagfcastBG,0x5EE4F8,0xD54
7459,TsaA_EfxNormalEffectBG,Pal_EfxMagfcastBG,0x5EF24C,0x20
7463,Tsa1_EfxMagfcastBG,Tsa1_EfxMagfcastBG,0x5EF26C,0x5EF308 - 0x5EF26C
7467,Tsa2_EfxMagfcastBG,Tsa2_EfxMagfcastBG,0x5EF308,0x5EF3A4 - 0x5EF308
7471,Tsa3_EfxMagfcastBG,Tsa3_EfxMagfcastBG,0x5EF3A4,0x5EF444 - 0x5EF3A4
7475,Tsa4_EfxMagfcastBG,Tsa4_EfxMagfcastBG,0x5EF444,0x5EF4E8 - 0x5EF444
7479,Tsa5_EfxMagfcastBG,Tsa5_EfxMagfcastBG,0x5EF4E8,0x5EF59C - 0x5EF4E8
7483,Tsa6_EfxMagfcastBG,Tsa6_EfxMagfcastBG,0x5EF59C,0x5EF644 - 0x5EF59C
7487,Tsa7_EfxMagfcastBG,Tsa7_EfxMagfcastBG,0x5EF644,0x5EF6F4 - 0x5EF644
7491,Tsa8_EfxMagfcastBG,Tsa8_EfxMagfcastBG,0x5EF6F4,0x5EF7A4 - 0x5EF6F4
7495,Tsa9_EfxMagfcastBG,Tsa9_EfxMagfcastBG,0x5EF7A4,0x5EF85C - 0x5EF7A4
7499,Tsa10_EfxMagfcastBG,Tsa10_EfxMagfcastBG,0x5EF85C,0x5EF914 - 0x5EF85C
7503,Tsa11_EfxMagfcastBG,Tsa11_EfxMagfcastBG,0x5EF914,0x5EF9C8 - 0x5EF914
7507,Tsa12_EfxMagfcastBG,Tsa12_EfxMagfcastBG,0x5EF9C8,0x5EFA68 - 0x5EF9C8
7511,Tsa13_EfxMagfcastBG,Tsa13_EfxMagfcastBG,0x5EFA68,0x5EFB1C - 0x5EFA68
7515,Tsa14_EfxMagfcastBG,Tsa14_EfxMagfcastBG,0x5EFB1C,0x5EFBD0 - 0x5EFB1C
7519,Tsa15_EfxMagfcastBG,Tsa15_EfxMagfcastBG,0x5EFBD0,0x5EFC84 - 0x5EFBD0
7523,Tsa16_EfxMagfcastBG,Tsa16_EfxMagfcastBG,0x5EFC84,0x5EFD24 - 0x5EFC84
7527,Tsa17_EfxMagfcastBG,Tsa17_EfxMagfcastBG,0x5EFD24,0x5EFDE0 - 0x5EFD24
7531,Tsa18_EfxMagfcastBG,Tsa18_EfxMagfcastBG,0x5EFDE0,0x5EFE90 - 0x5EFDE0
7535,Tsa19_EfxMagfcastBG,Tsa19_EfxMagfcastBG,0x5EFE90,0x5EFF60 - 0x5EFE90
7539,Tsa20_EfxMagfcastBG,Tsa20_EfxMagfcastBG,0x5EFF60,0x5F0018 - 0x5EFF60
7543,Tsa21_EfxMagfcastBG,Tsa21_EfxMagfcastBG,0x5F0018,0x5F00E8 - 0x5F0018
7547,Tsa22_EfxMagfcastBG,Tsa22_EfxMagfcastBG,0x5F00E8,0x5F0190 - 0x5F00E8
7551,Tsa22_EfxMagfcastBG,Img_EfxMagdhisEffectBG,0x5F0190,0xC74
7555,Tsa22_EfxMagfcastBG,Pal_EfxMagdhisEffectBG,0x5F0E04,0x20
7559,Tsa1_EfxMagdhisEffectBG,Tsa1_EfxMagdhisEffectBG,0x5F0E24,0x5F0F24 - 0x5F0E24
7563,Tsa2_EfxMagdhisEffectBG,Tsa2_EfxMagdhisEffectBG,0x5F0F24,0x5F1018 - 0x5F0F24
7567,Tsa3_EfxMagdhisEffectBG,Tsa3_EfxMagdhisEffectBG,0x5F1018,0x5F10EC - 0x5F1018
7571,Tsa4_EfxMagdhisEffectBG,Tsa4_EfxMagdhisEffectBG,0x5F10EC,0x5F11B0 - 0x5F10EC
7575,Tsa4_EfxMagdhisEffectBG,Img_EfxSunakemuriOBJ,0x5F11B0,0x470
7579,Tsa4_EfxMagdhisEffectBG,Pal_EfxSunakemuriOBJ1,0x5F1620,0x20
7583,Tsa4_EfxMagdhisEffectBG,Pal_EfxSunakemuriOBJ2,0x5F1640,0x20
7587,Tsa4_EfxMagdhisEffectBG,Pal_EfxSunakemuriOBJ3,0x5F1660,0x20
8507,Tsa4_EfxMagdhisEffectBG,Img_ThunderSpellBg,0x5F2DC0,0x8BC
8511,Tsa4_EfxMagdhisEffectBG,Pal_ThunderSpellBg,0x5F367C,0x200
8515,Tsa4_EfxMagdhisEffectBG,Tsa_EfxThuderBg1,0x5F387C,0xCC
8519,Tsa4_EfxMagdhisEffectBG,Tsa_EfxThuderBg2,0x5F3948,0x160
8523,Tsa4_EfxMagdhisEffectBG,Img_BoltingSprites,0x5F3AA8,0x498
8527,Tsa4_EfxMagdhisEffectBG,Pal_BoltingSprites,0x5F3F40,0x5F3FE0 - 0x5F3F40
9271,Tsa4_EfxMagdhisEffectBG,Img_FireSpellBg,0x5F5638,0xBF8
9275,Tsa4_EfxMagdhisEffectBG,Pal_FireSpellBg,0x5F6230,0x20
9279,Tsa4_EfxMagdhisEffectBG,Tsa_085F6250,0x5F6250,0xA8
9283,Tsa4_EfxMagdhisEffectBG,Tsa_085F62F8,0x5F62F8,0xA8
9287,Tsa4_EfxMagdhisEffectBG,Tsa_085F63A0,0x5F63A0,0xB8
9291,Tsa4_EfxMagdhisEffectBG,Tsa_085F6458,0x5F6458,0xC8
9295,Tsa4_EfxMagdhisEffectBG,Tsa_085F6520,0x5F6520,0xD0
9299,Tsa4_EfxMagdhisEffectBG,Tsa_085F65F0,0x5F65F0,0x100
9303,Tsa4_EfxMagdhisEffectBG,Tsa_085F66F0,0x5F66F0,0x108
9307,Tsa4_EfxMagdhisEffectBG,Tsa_085F67F8,0x5F67F8,0x114
9311,Tsa4_EfxMagdhisEffectBG,Tsa_085F690C,0x5F690C,0x138
9315,Tsa4_EfxMagdhisEffectBG,Tsa_085F6A44,0x5F6A44,0x104
9319,Tsa4_EfxMagdhisEffectBG,Tsa_085F6B48,0x5F6B48,0xD4
9323,Tsa4_EfxMagdhisEffectBG,Tsa_085F6C1C,0x5F6C1C,0x5F6CDC - 0x5F6C1C
9327,Tsa4_EfxMagdhisEffectBG,Tsa_085F6CDC,0x5F6CDC,0x5F6D84 - 0x5F6CDC
9331,Tsa4_EfxMagdhisEffectBG,Tsa_085F6D84,0x5F6D84,0x5F6E2C - 0x5F6D84
9335,Tsa4_EfxMagdhisEffectBG,Tsa_085F6E2C,0x5F6E2C,0x5F6EE4 - 0x5F6E2C
9339,Tsa4_EfxMagdhisEffectBG,Tsa_085F6EE4,0x5F6EE4,0x5F6FAC - 0x5F6EE4
9343,Tsa4_EfxMagdhisEffectBG,Tsa_085F6FAC,0x5F6FAC,0x5F707C - 0x5F6FAC
9347,Tsa4_EfxMagdhisEffectBG,Tsa_085F707C,0x5F707C,0x5F717C - 0x5F707C
9351,Tsa4_EfxMagdhisEffectBG,Tsa_085F717C,0x5F717C,0x5F7284 - 0x5F717C
9355,Tsa4_EfxMagdhisEffectBG,Tsa_085F7284,0x5F7284,0x5F7398 - 0x5F7284
9359,Tsa4_EfxMagdhisEffectBG,Tsa_085F7398,0x5F7398,0x5F74D0 - 0x5F7398
9363,Tsa4_EfxMagdhisEffectBG,Tsa_085F74D0,0x5F74D0,0x5F75D4 - 0x5F74D0
9367,Tsa4_EfxMagdhisEffectBG,Tsa_085F75D4,0x5F75D4,0x5F76A8 - 0x5F75D4
9371,Tsa4_EfxMagdhisEffectBG,Tsa_085F76A8,0x5F76A8,0x5F7768 - 0x5F76A8
9375,Tsa4_EfxMagdhisEffectBG,Img_FireSpellSprites,0x5F7768,0x5FC
9379,Tsa4_EfxMagdhisEffectBG,Pal_FireSpellSprites,0x5F7D64,0x20
9659,Tsa4_EfxMagdhisEffectBG,Img_085F8494,0x5F8494,0x5F91D0 - 0x5F8494
9663,Tsa4_EfxMagdhisEffectBG,Img_085F91D0,0x5F91D0,0x5F9EAC - 0x5F91D0
9667,Tsa4_EfxMagdhisEffectBG,Img_085F9EAC,0x5F9EAC,0x5FACD4 - 0x5F9EAC
9671,Tsa4_EfxMagdhisEffectBG,Img_085FACD4,0x5FACD4,0x5FBCC8 - 0x5FACD4
9675,Tsa4_EfxMagdhisEffectBG,Img_085FBCC8,0x5FBCC8,0x5FCF64 - 0x5FBCC8
9679,Tsa4_EfxMagdhisEffectBG,Img_085FCF64,0x5FCF64,0x5FDB30 - 0x5FCF64
9683,Tsa4_EfxMagdhisEffectBG,Img_085FDB30,0x5FDB30,0x5FE728 - 0x5FDB30
9687,Tsa4_EfxMagdhisEffectBG,Img_085FE728,0x5FE728,0x5FF280 - 0x5FE728
9691,Tsa4_EfxMagdhisEffectBG,Img_085FF280,0x5FF280,0x5FFD7C - 0x5FF280
9695,Tsa4_EfxMagdhisEffectBG,Img_085FFD7C,0x5FFD7C,0x600784 - 0x5FFD7C
9699,Tsa4_EfxMagdhisEffectBG,Img_08600784,0x600784,0x60108C - 0x600784
9703,Tsa4_EfxMagdhisEffectBG,Pal_EfxFireHitBG,0x60108C,0x6010AC - 0x60108C
9707,Tsa4_EfxMagdhisEffectBG,Tsa_086010AC,0x6010AC,0x601158 - 0x6010AC
9711,Tsa4_EfxMagdhisEffectBG,Tsa_08601158,0x601158,0x601210 - 0x601158
9715,Tsa4_EfxMagdhisEffectBG,Tsa_08601210,0x601210,0x6012DC - 0x601210
9719,Tsa4_EfxMagdhisEffectBG,Tsa_086012DC,0x6012DC,0x6013BC - 0x6012DC
9723,Tsa4_EfxMagdhisEffectBG,Tsa_086013BC,0x6013BC,0x6014B0 - 0x6013BC
9727,Tsa4_EfxMagdhisEffectBG,Tsa_086014B0,0x6014B0,0x6015C8 - 0x6014B0
9731,Tsa4_EfxMagdhisEffectBG,Tsa_086015C8,0x6015C8,0x6016F4 - 0x6015C8
9735,Tsa4_EfxMagdhisEffectBG,Tsa_086016F4,0x6016F4,0x60182C - 0x6016F4
9739,Tsa4_EfxMagdhisEffectBG,Tsa_0860182C,0x60182C,0x601970 - 0x60182C
9743,Tsa4_EfxMagdhisEffectBG,Tsa_08601970,0x601970,0x601AC4 - 0x601970
9747,Tsa4_EfxMagdhisEffectBG,Tsa_08601AC4,0x601AC4,0x601C1C - 0x601AC4
9751,Tsa4_EfxMagdhisEffectBG,Tsa_08601C1C,0x601C1C,0x601D84 - 0x601C1C
9755,Tsa4_EfxMagdhisEffectBG,Tsa_08601D84,0x601D84,0x601EF0 - 0x601D84
9759,Tsa4_EfxMagdhisEffectBG,Tsa_08601EF0,0x601EF0,0x60206C - 0x601EF0
9763,Tsa4_EfxMagdhisEffectBG,Tsa_0860206C,0x60206C,0x602200 - 0x60206C
9767,Tsa4_EfxMagdhisEffectBG,Tsa_08602200,0x602200,0x6023A0 - 0x602200
9771,Tsa4_EfxMagdhisEffectBG,Tsa_086023A0,0x6023A0,0x602540 - 0x6023A0
9775,Tsa4_EfxMagdhisEffectBG,Tsa_08602540,0x602540,0x6026E0 - 0x602540
9779,Tsa4_EfxMagdhisEffectBG,Tsa_086026E0,0x6026E0,0x602880 - 0x6026E0
9783,Tsa4_EfxMagdhisEffectBG,Tsa_08602880,0x602880,0x602A10 - 0x602880
9787,Tsa4_EfxMagdhisEffectBG,Tsa_08602A10,0x602A10,0x602B94 - 0x602A10
9791,Tsa4_EfxMagdhisEffectBG,Img_EkrElfireBG,0x602B94,0xFBC
9795,Tsa4_EfxMagdhisEffectBG,Pal_EkrElfireBG,0x603B50,0x200
9799,Tsa4_EfxMagdhisEffectBG,Tsa_EkrElfireBG,0x603D50,0x248
9803,Tsa4_EfxMagdhisEffectBG,Img_EfxElfireOBJ,0x603F98,0x278
9807,Tsa4_EfxMagdhisEffectBG,Pal_EfxElfireOBJ,0x604210,0x20
10665,Tsa4_EfxMagdhisEffectBG,Img_BoltingBg_A,0x605E70,0xBD0
10669,Tsa4_EfxMagdhisEffectBG,Img_BoltingBg_B,0x606A40,0x106C
10673,Tsa4_EfxMagdhisEffectBG,Img_BoltingBg_C,0x607AAC,0xD8C
10677,Tsa4_EfxMagdhisEffectBG,Pal_BoltingBg,0x608838,0x60
10681,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_A,0x608898,0x194
10685,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_B,0x608A2C,0x208
10689,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_C,0x608C34,0x164
10693,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_D,0x608D98,0xE0
10697,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_E,0x608E78,0x118
10701,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_F,0x608F90,0x1AC
10705,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_G,0x60913C,0x120
10709,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_H,0x60925C,0xEC
10713,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_I,0x609348,0xE8
10717,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_J,0x609430,0x98
10721,Tsa4_EfxMagdhisEffectBG,Tsa_BoltingBg_K,0x6094C8,0x6096BC - 0x6094C8
11246,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_A,0x60A764,0x12D0
11250,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_B,0x60BA34,0x18B0
11254,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_C,0x60D2E4,0x1444
11258,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_D,0x60E728,0x1AB4
11262,Tsa4_EfxMagdhisEffectBG,Pal_FimbulvetrBg,0x6101DC,0x20
11266,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_A,0x6101FC,0xA4
11270,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_B,0x6102A0,0xA8
11274,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_C,0x610348,0xBC
11278,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_D,0x610404,0xD4
11282,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_E,0x6104D8,0xFC
11286,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_F,0x6105D4,0x140
11290,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_G,0x610714,0x198
11294,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_H,0x6108AC,0x1D4
11298,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_I,0x610A80,0x210
11302,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_J,0x610C90,0x220
11306,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_K,0x610EB0,0x230
11310,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_A,0x6110E0,0x1208
11314,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_B,0x6122E8,0x115C
11318,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_C,0x613444,0x1084
11322,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_D,0x6144C8,0x1440
11326,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_E,0x615908,0x13B8
11330,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrBg_Tornado_F,0x616CC0,0x1244
11334,Tsa4_EfxMagdhisEffectBG,Pal_FimbulvetrBg_Tornado,0x617F04,0x20
11338,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_A,0x617F24,0x1EC
11342,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_B,0x618110,0x1D8
11346,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_C,0x6182E8,0x1C8
11350,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_D,0x6184B0,0x234
11354,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_E,0x6186E4,0x248
11358,Tsa4_EfxMagdhisEffectBG,Tsa_FimbulvetrBg_Tornado_F,0x61892C,0x290
11362,Tsa4_EfxMagdhisEffectBG,Img_FimbulvetrSprites_Snow,0x618BBC,0x618F0C - 0x618BBC
12160,Tsa4_EfxMagdhisEffectBG,Img_0861AD94,0x61AD94,0x8C8
12164,Tsa4_EfxMagdhisEffectBG,Img_0861B65C,0x61B65C,0x750
12168,Tsa4_EfxMagdhisEffectBG,Img_0861BDAC,0x61BDAC,0x9C4
12172,Tsa4_EfxMagdhisEffectBG,Img_0861C770,0x61C770,0xB54
12176,Tsa4_EfxMagdhisEffectBG,Img_0861D2C4,0x61D2C4,0xB08
12180,Tsa4_EfxMagdhisEffectBG,Img_0861DDCC,0x61DDCC,0x318
12184,Tsa4_EfxMagdhisEffectBG,Img_0861E0E4,0x61E0E4,0xCB0
12188,Tsa4_EfxMagdhisEffectBG,Img_0861ED94,0x61ED94,0xA20
12192,Tsa4_EfxMagdhisEffectBG,Pal_0861F7B4,0x61F7B4,0x20
12196,Tsa4_EfxMagdhisEffectBG,Pal_0861F7D4,0x61F7D4,0x20
12200,Tsa4_EfxMagdhisEffectBG,Tsa_0861F7F4,0x61F7F4,0x124
12204,Tsa4_EfxMagdhisEffectBG,Tsa_0861F918,0x61F918,0x120
12208,Tsa4_EfxMagdhisEffectBG,Tsa_0861FA38,0x61FA38,0x10C
12212,Tsa4_EfxMagdhisEffectBG,Tsa_0861FB44,0x61FB44,0xFC
12216,Tsa4_EfxMagdhisEffectBG,Tsa_0861FC40,0x61FC40,0xE8
12220,Tsa4_EfxMagdhisEffectBG,Tsa_0861FD28,0x61FD28,0xE4
12224,Tsa4_EfxMagdhisEffectBG,Tsa_0861FE0C,0x61FE0C,0xE4
12228,Tsa4_EfxMagdhisEffectBG,Tsa_0861FEF0,0x61FEF0,0xDC
12232,Tsa4_EfxMagdhisEffectBG,Tsa_0861FFCC,0x61FFCC,0xE0
12236,Tsa4_EfxMagdhisEffectBG,Tsa_086200AC,0x6200AC,0xF4
12240,Tsa4_EfxMagdhisEffectBG,Tsa_086201A0,0x6201A0,0xF4
12244,Tsa4_EfxMagdhisEffectBG,Tsa_08620294,0x620294,0x104
12248,Tsa4_EfxMagdhisEffectBG,Tsa_08620398,0x620398,0x108
12252,Tsa4_EfxMagdhisEffectBG,Tsa_086204A0,0x6204A0,0x118
12256,Tsa4_EfxMagdhisEffectBG,Tsa_086205B8,0x6205B8,0x124
12260,Tsa4_EfxMagdhisEffectBG,Tsa_086206DC,0x6206DC,0x114
12264,Tsa4_EfxMagdhisEffectBG,Tsa_086207F0,0x6207F0,0xB0
12268,Tsa4_EfxMagdhisEffectBG,Tsa_086208A0,0x6208A0,0x108
12272,Tsa4_EfxMagdhisEffectBG,Tsa_086209A8,0x6209A8,0x13C
12276,Tsa4_EfxMagdhisEffectBG,Tsa_08620AE4,0x620AE4,0x174
12280,Tsa4_EfxMagdhisEffectBG,Tsa_08620C58,0x620C58,0x198
12284,Tsa4_EfxMagdhisEffectBG,Tsa_08620DF0,0x620DF0,0x174
12288,Tsa4_EfxMagdhisEffectBG,Tsa_08620F64,0x620F64,0x10C
12292,Tsa4_EfxMagdhisEffectBG,Tsa_08621070,0x621070,0xD4
12296,Tsa4_EfxMagdhisEffectBG,Tsa_08621144,0x621144,0xA0
12300,Tsa4_EfxMagdhisEffectBG,Tsa_086211E4,0x6211E4,0x120
12304,Tsa4_EfxMagdhisEffectBG,Tsa_08621304,0x621304,0x11C
12308,Tsa4_EfxMagdhisEffectBG,Tsa_08621420,0x621420,0x114
12312,Tsa4_EfxMagdhisEffectBG,Tsa_08621534,0x621534,0xF8
12316,Tsa4_EfxMagdhisEffectBG,Tsa_0862162C,0x62162C,0xE8
12320,Tsa4_EfxMagdhisEffectBG,Tsa_08621714,0x621714,0xD0
12324,Tsa4_EfxMagdhisEffectBG,Tsa_086217E4,0x6217E4,0xC4
12328,Tsa4_EfxMagdhisEffectBG,Tsa_086218A8,0x6218A8,0xB8
12332,Tsa4_EfxMagdhisEffectBG,Img_AircaliburBg,0x621960,0x15CC
12336,Tsa4_EfxMagdhisEffectBG,Pal_AircaliburBg,0x622F2C,0xC0
12340,Tsa4_EfxMagdhisEffectBG,Tsa_AircaliburBg_A,0x622FEC,0x188
12344,Tsa4_EfxMagdhisEffectBG,Tsa_AircaliburBg_B,0x623174,0x364
12348,Tsa4_EfxMagdhisEffectBG,Img_AircaliburSprites,0x6234D8,0x5C4
12352,Tsa4_EfxMagdhisEffectBG,Pal_AircaliburSprites,0x623A9C,0x20
13914,Tsa4_EfxMagdhisEffectBG,Img_08626944,0x626944,0xBD0
